X,Measured,X,Model
0.606841160893,21.823471699,0.606841160893,33.5983803796
0.624999989022,16.9242289215,0.624999989022,26.0414273822
0.643187264543,14.8944311979,0.643187264543,18.2704323905
0.661402884305,10.4367329067,0.661402884305,13.4467879163
0.679646745157,15.1063545321,0.679646745157,11.6989838594
0.697918743949,11.9317417704,0.697918743949,11.5736873243
0.71621877753,14.9479032438,0.71621877753,12.9532347524
0.734546742751,18.277209597,0.734546742751,15.7690997026
0.752902536461,19.5370872861,0.752902536461,20.4887954356
0.77128605551,22.821020463,0.77128605551,27.9125214526
0.789697196746,28.1147233009,0.789697196746,39.5055616014
0.808135857021,44.3405923008,0.808135857021,57.570644904
0.826601933183,64.9952226502,0.826601933183,85.1868182647
0.845095322082,106.725626838,0.845095322082,125.244694096
0.863615920567,186.887705814,0.863615920567,174.75209221
0.882163625489,267.139438126,0.882163625489,220.26231674
0.900738886094,285.367700292,0.900738886094,238.384179455
0.919454223062,218.203417167,0.919454223062,216.896393412
0.93836681858,143.953342663,0.93836681858,167.547983626
0.957436890428,97.2929945906,0.957436890428,117.211664465
0.976624656383,78.367729455,0.976624656383,79.315547251
0.995890334225,60.1745738076,0.995890334225,54.5047862593
1.01519414173,57.3147567658,1.01519414173,39.0238655975
1.03449629668,59.3207766403,1.03449629668,29.7333062154
1.05375701685,60.49397121,1.05375701685,24.9971536294
1.07293652001,64.4939370074,1.07293652001,24.5073112529
1.09199502396,78.182689945,1.09199502396,28.6146724747
1.11089274646,96.6424665237,1.11089274646,39.5711012783
1.12958990529,122.408032192,1.12958990529,58.7087926468
1.14804671824,176.595188768,1.14804671824,84.0385905756
1.16622340308,261.522836927,1.16622340308,115.996323569
1.18408017758,355.242502775,1.18408017758,171.697017561
1.20157888206,423.830103975,1.20157888206,279.995550779
1.21879752439,390.024524708,1.21879752439,392.644918299
1.23580697893,269.969848394,1.23580697893,371.530699298
1.2526208075,169.069647419,1.2526208075,242.906952257
1.2692525719,97.824327849,1.2692525719,115.995841231
1.28571583395,63.2855019751,1.28571583395,49.8137795788
1.30202415546,50.7085094152,1.30202415546,23.1618585391
1.31819109825,33.7190561008,1.31819109825,13.2968156454
1.33423022412,32.4807189792,1.33423022412,9.09194168713
1.35015509488,27.373317128,1.35015509488,7.17697959421
1.36597927235,24.1355579152,1.36597927235,6.38053669268
1.38171631835,24.8863429133,1.38171631835,6.52992689914
1.39737979467,23.8278675624,1.39737979467,7.91942881812
1.41298326314,28.7324801645,1.41298326314,11.5063957813
1.42854028557,30.7135044664,1.42854028557,19.8495398026
1.44406442376,45.5890748636,1.44406442376,37.0607865323
1.45956923954,63.4717673926,1.45956923954,63.2738196533
1.47506829471,89.3193844747,1.47506829471,89.4232138217
1.49057515108,109.114607969,1.49057515108,99.3469720981
1.50609576495,107.887982009,1.50609576495,87.8809624037
1.52158409887,90.8236367775,1.52158409887,66.0953275877
1.5370289455,64.4966105986,1.5370289455,45.4289797003
1.55242905882,47.6846272823,1.55242905882,31.3904229352
1.56778319285,37.1058303792,1.56778319285,22.3256457477
1.58309010158,29.1792693781,1.58309010158,16.5719627168
1.598348539,22.8162507657,1.598348539,13.3063097017
1.61355725911,19.8413548894,1.61355725911,12.120540897
1.62871501592,18.8216863828,1.62871501592,12.5004730537
1.64382056341,19.2892831714,1.64382056341,14.1782439566
1.65887265559,20.3111158933,1.65887265559,17.0882456551
1.67387004645,20.2229058462,1.67387004645,21.5252891311
1.68881148999,23.8496554375,1.68881148999,27.9240006204
1.7036957402,25.5795540799,1.7036957402,36.8729463163
1.7185215511,33.4824013774,1.7185215511,48.903513187
1.73328767666,49.0408943523,1.73328767666,64.0387504426
1.7479928709,71.0455498873,1.7479928709,81.2944480386
1.7626358878,103.613553345,1.7626358878,98.4018350642
1.77721548137,140.853505181,1.77721548137,111.998771527
1.7917304056,160.801683423,1.7917304056,118.7372792
1.8061893066,165.369930655,1.8061893066,116.753941734
1.82064480863,140.303611873,1.82064480863,106.547523312
1.83509766934,98.4805023225,1.83509766934,90.7397590259
1.84953935256,71.9733376026,1.84953935256,72.814062861
1.86396132209,43.1556490565,1.86396132209,55.8157603481
1.87835504178,31.7843046255,1.87835504178,41.5804473281
1.89271197545,20.6750182956,1.89271197545,30.6536919565
1.90702358691,16.4528973749,1.90702358691,22.725241674
1.92128134,16.292837042,1.92128134,17.1519834724
1.93547669855,13.7846479276,1.93547669855,13.2922445152
1.94960112636,11.9178962507,1.94960112636,10.6461180759
1.96364608728,12.1207005109,1.96364608728,8.85023037483
1.97760304512,10.2443148941,1.97760304512,7.71005609728
1.99146346371,9.89290361927,1.99146346371,7.09469713253
2.00521880687,10.1969220423,2.00521880687,7.03503367816
2.01886053843,11.5010349909,2.01886053843,7.57518188417
2.03238012222,14.1090398257,2.03238012222,8.85044557037
2.04576902206,13.8068960774,2.04576902206,10.8096470938
2.05901870177,16.7032107635,2.05901870177,14.0121657609
2.07212062517,23.678238275,2.07212062517,17.9539700635
2.0850662561,25.6885228346,2.0850662561,22.0229726542
2.09784705838,27.9931788124,2.09784705838,25.3827528602
2.11050145678,23.4668766291,2.11050145678,26.8308143652
2.12308417091,20.9513011269,2.12308417091,25.6730980441
2.13559383762,15.4895302697,2.13559383762,22.2608142957
2.14802891496,14.0729173471,2.14802891496,17.5297326576
2.16038786101,11.8405272112,2.16038786101,12.5407849133
2.17266913383,8.90821167432,2.17266913383,8.427594421
2.18487119148,8.37069459353,2.18487119148,5.44300067431
2.19699249205,6.14981805395,2.19699249205,3.71114642412
2.20903149359,8.27700089099,2.20903149359,2.81538141503
2.22098665418,8.762985228,2.22098665418,2.5553366512
2.23285643187,8.25216434592,2.23285643187,2.25319367283
2.24463928474,7.6666706585,2.24463928474,2.18386753334
2.25633367086,7.94539419423,2.25633367086,2.37873156449
2.2679380483,11.6979885597,2.2679380483,3.65223820579
2.27945087511,12.8097642206,2.27945087511,3.79837067367
2.29087060937,13.0613035268,2.29087060937,5.93068090035
2.30219570916,14.7382069282,2.30219570916,8.82624356961
2.31342463252,18.6498591748,2.31342463252,14.7739805264
2.32455583754,25.5224067288,2.32455583754,23.9936557842
2.33558778228,38.1013393254,2.33558778228,36.7839532839
2.3465189248,52.4270120553,2.3465189248,52.8024590156
2.35734772318,74.4420222661,2.35734772318,69.5043678733
2.36807263548,94.440168752,2.36807263548,83.6326964291
2.37869211978,111.782853646,2.37869211978,93.7932025684
2.38920463413,136.363439521,2.38920463413,95.9868502984
