m,branch,qz_center,gui_L,final_L,gui_background_density,final_data_density,pixel_count,delta_L,delta_density
1,-,0.4754284605128358,0.5130208333333334,0.5130208333333334,13.663127525866061,13.663127525866061,299.0,0.0,0.0
1,-,0.4995618849043504,0.5390625,0.5390625,13.04747696647643,13.04747696647643,300.0,0.0,0.0
1,-,0.5236953092958649,0.5651041666666667,0.5651041666666667,13.116268178962024,13.116268178962024,302.0,0.0,0.0
1,-,0.5478287336873793,0.5911458333333333,0.5911458333333333,15.30329036122024,15.30329036122024,300.0,0.0,0.0
1,-,0.5719621580788938,0.6171875,0.6171875,17.263044840367932,17.263044840367932,304.0,0.0,0.0
1,-,0.5960955824704084,0.6432291666666667,0.6432291666666667,18.380999291482805,18.380999291482805,300.0,0.0,0.0
1,-,0.620229006861923,0.6692708333333334,0.6692708333333334,18.220138921325425,18.220138921325425,309.0,0.0,0.0
1,-,0.6443624312534375,0.6953125000000001,0.6953125000000001,19.155700146007728,19.155700146007728,310.0,0.0,0.0
1,-,0.6684958556449518,0.7213541666666666,0.7213541666666666,23.008404761056166,23.008404761056166,309.0,0.0,0.0
1,-,0.6926292800364664,0.7473958333333334,0.7473958333333334,25.865652152932896,25.865652152932896,309.0,0.0,0.0
1,-,0.716762704427981,0.7734375,0.7734375,30.2169979188017,30.2169979188017,317.0,0.0,0.0
1,-,0.7408961288194955,0.7994791666666667,0.7994791666666667,38.46195381071634,38.46195381071634,316.0,0.0,0.0
1,-,0.76502955321101,0.8255208333333334,0.8255208333333334,51.62238973175238,51.62238973175238,317.0,0.0,0.0
1,-,0.7891629776025244,0.8515625,0.8515625,69.04708223651562,69.04708223651562,318.0,0.0,0.0
1,-,0.813296401994039,0.8776041666666666,0.8776041666666666,95.64269485415826,95.64269485415826,322.0,0.0,0.0
1,-,0.8374298263855535,0.9036458333333334,0.9036458333333334,144.68167620083508,144.68167620083508,323.0,0.0,0.0
1,-,0.8615632507770681,0.9296875000000001,0.9296875000000001,242.57816442966748,242.57816442966748,326.0,0.0,0.0
1,-,0.8856966751685824,0.9557291666666666,0.9557291666666666,320.10111198445657,320.10111198445657,325.0,0.0,0.0
1,-,0.909830099560097,0.9817708333333334,0.9817708333333334,258.45794776801,258.45794776801,331.0,0.0,0.0
1,-,0.9339635239516116,1.0078125000000002,1.0078125000000002,171.0703094003573,171.0703094003573,333.0,0.0,0.0
1,-,0.9580969483431261,1.0338541666666667,1.0338541666666667,118.46847728169588,118.46847728169588,332.0,0.0,0.0
1,-,0.9822303727346405,1.0598958333333333,1.0598958333333333,93.7510026373878,93.7510026373878,340.0,0.0,0.0
1,-,1.0063637971261552,1.0859375000000002,1.0859375000000002,81.67912577751225,81.67912577751225,336.0,0.0,0.0
1,-,1.0304972215176695,1.1119791666666667,1.1119791666666667,75.18788326194074,75.18788326194074,346.0,0.0,0.0
1,-,1.0546306459091839,1.1380208333333333,1.1380208333333333,72.22296037605645,72.22296037605645,342.0,0.0,0.0
