sample_name,tilt_deg,theta_initial_deg_used_for_q,qz_map_source,qr_integration_source,solid_angle_corrected,m,qr,qr_original,qr_fit_count,qr_fit_sample_count,qr_fit_method,branch,phi_window,delta_qr,qz_bin,qz_min,qz_max,qz_center,pixel_count,acceptance_sum,acceptance_source,background_sum_raw,background_sum,fit_sum,background_mean_raw,background_mean,fit_mean,background_weighted_sum_raw,background_weighted_sum,fit_weighted_sum,background_density_raw,qr_sideband_background_density,qr_sideband_pixel_count,qr_sideband_inner_delta_qr,qr_sideband_outer_delta_qr,qr_sideband_percentile,qr_transverse_background_subtracted,background_density,fit_density,two_theta_min,two_theta_max,two_theta_mean,smoothed_background_density
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,1,0.46336174831707855,0.48749517270859305,0.4754284605128358,299,299.0,pixel_count,4085.275130233952,4085.275130233952,0.0,13.663127525866061,13.663127525866061,0.0,4085.275130233952,4085.275130233952,0.0,13.663127525866061,,0,,,,False,13.663127525866061,0.0,22.853792190551758,26.44856071472168,24.67885373628645,13.492382871214728
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,2,0.48749517270859305,0.5116285971001077,0.4995618849043504,300,300.0,pixel_count,3914.2430899429287,3914.2430899429287,0.0,13.04747696647643,13.04747696647643,0.0,3914.2430899429287,3914.2430899429287,0.0,13.04747696647643,,0,,,,False,13.04747696647643,0.0,22.954666137695312,26.59200096130371,24.777569281099982,13.39033338079193
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,3,0.5116285971001077,0.5357620214916221,0.5236953092958649,302,302.0,pixel_count,3961.112990046531,3961.112990046531,0.0,13.116268178962024,13.116268178962024,0.0,3961.112990046531,3961.112990046531,0.0,13.116268178962024,,0,,,,False,13.116268178962024,0.0,23.05996322631836,26.680130004882812,24.904695212204953,13.908746694189398
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,4,0.5357620214916221,0.5598954458831366,0.5478287336873793,300,300.0,pixel_count,4590.987108366072,4590.987108366072,0.0,15.30329036122024,15.30329036122024,0.0,4590.987108366072,4590.987108366072,0.0,15.30329036122024,,0,,,,False,15.30329036122024,0.0,23.230152130126953,26.82974624633789,25.027016055646612,15.298627293987643
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,5,0.5598954458831366,0.5840288702746511,0.5719621580788938,304,304.0,pixel_count,5247.965631471851,5247.965631471851,0.0,17.263044840367932,17.263044840367932,0.0,5247.965631471851,5247.965631471851,0.0,17.263044840367932,,0,,,,False,17.263044840367932,0.0,23.343589782714844,26.924583435058594,25.151982061746263,16.87713101086461
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,6,0.5840288702746511,0.6081622946661657,0.5960955824704084,300,300.0,pixel_count,5514.299787444842,5514.299787444842,0.0,18.380999291482805,18.380999291482805,0.0,5514.299787444842,5514.299787444842,0.0,18.380999291482805,,0,,,,False,18.380999291482805,0.0,23.461158752441406,27.022838592529297,25.28089215284028,17.94468396607129
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,7,0.6081622946661657,0.6322957190576802,0.620229006861923,309,309.0,pixel_count,5630.022926689557,5630.022926689557,0.0,18.220138921325425,18.220138921325425,0.0,5630.022926689557,5630.022926689557,0.0,18.220138921325425,,0,,,,False,18.220138921325425,0.0,23.641965866088867,27.201953887939453,25.451355652680437,18.714170202671703
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,8,0.6322957190576802,0.6564291434491947,0.6443624312534375,310,310.0,pixel_count,5938.267045262395,5938.267045262395,0.0,19.155700146007728,19.155700146007728,0.0,5938.267045262395,5938.267045262395,0.0,19.155700146007728,,0,,,,False,19.155700146007728,0.0,23.76704978942871,27.307138442993164,25.564977074387627,20.22471880284246
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,9,0.6564291434491947,0.6805625678407091,0.6684958556449518,309,309.0,pixel_count,7109.597071166356,7109.597071166356,0.0,23.008404761056166,23.008404761056166,0.0,7109.597071166356,7109.597071166356,0.0,23.008404761056166,,0,,,,False,23.008404761056166,0.0,23.954208374023438,27.471540451049805,25.73094498689767,22.949249230902808
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,10,0.6805625678407091,0.7046959922322237,0.6926292800364664,309,309.0,pixel_count,7992.486515256265,7992.486515256265,0.0,25.865652152932896,25.865652152932896,0.0,7992.486515256265,7992.486515256265,0.0,25.865652152932896,,0,,,,False,25.865652152932896,0.0,24.086376190185547,27.582679748535156,25.848180445140674,26.630035712551802
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,11,0.7046959922322237,0.7288294166237382,0.716762704427981,317,317.0,pixel_count,9578.788340260138,9578.788340260138,0.0,30.2169979188017,30.2169979188017,0.0,9578.788340260138,9578.788340260138,0.0,30.2169979188017,,0,,,,False,30.2169979188017,0.0,24.222169876098633,27.775222778320312,26.043132478263047,32.055859389060394
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,12,0.7288294166237382,0.7529628410152527,0.7408961288194955,316,316.0,pixel_count,12153.977404186362,12153.977404186362,0.0,38.46195381071634,38.46195381071634,0.0,12153.977404186362,12153.977404186362,0.0,38.46195381071634,,0,,,,False,38.46195381071634,0.0,24.418256759643555,27.892606735229492,26.174022700188917,40.81915748215579
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,13,0.7529628410152527,0.7770962654067672,0.76502955321101,317,317.0,pixel_count,16364.297544965504,16364.297544965504,0.0,51.62238973175238,51.62238973175238,0.0,16364.297544965504,16364.297544965504,0.0,51.62238973175238,,0,,,,False,51.62238973175238,0.0,24.560504913330078,28.067214965820312,26.32999029978013,54.19522461454382
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,14,0.7770962654067672,0.8012296897982817,0.7891629776025244,318,318.0,pixel_count,21956.97215121197,21956.97215121197,0.0,69.04708223651562,69.04708223651562,0.0,21956.97215121197,21956.97215121197,0.0,69.04708223651562,,0,,,,False,69.04708223651562,0.0,24.791227340698242,28.214805603027344,26.535485792310936,74.32325037087256
