intrinsic_L,S_normalized_to_ordered_peak
0.14999999999999999,0.026191710808347434
0.15809523809523809,0.037595043258977848
0.16619047619047619,0.046463378658893911
0.17428571428571427,0.05152634997027309
0.18238095238095237,0.052288836293879676
0.19047619047619047,0.048964062359228032
0.19857142857142857,0.042335502818853989
0.20666666666666667,0.033570051804336656
0.21476190476190476,0.024008684578792079
0.22285714285714286,0.014961331126124645
0.23095238095238094,0.007530024823195593
0.23904761904761904,0.0024790726966758352
0.24714285714285714,0.00016380000220441183
0.25523809523809521,0.00052132114752200778
0.26333333333333331,0.0031188140922867452
0.27142857142857141,0.0072478937063559633
0.27952380952380951,0.012048677696790992
0.28761904761904761,0.016644533061731186
0.29571428571428571,0.020268475175480614
0.30380952380952375,0.022364625411130636
0.31190476190476191,0.022652573926770492
0.31999999999999995,0.021148264510775318
0.32809523809523811,0.018141301386377182
0.33619047619047615,0.014134526963608136
0.34428571428571431,0.0097565679536814314
0.35238095238095235,0.0056612041238689511
0.36047619047619045,0.0024285344728847556
0.36857142857142855,0.00048193735386884074
0.37666666666666665,3.1962640686833451e-05
0.38476190476190475,0.0010540169724310086
0.39285714285714279,0.0033016432271186021
0.40095238095238095,0.0063520729895910118
0.40904761904761899,0.0096762521697161142
0.41714285714285715,0.012722303079660291
0.42523809523809519,0.014999803239131609
0.43333333333333335,0.016152506927921945
0.44142857142857139,0.016009129622192354
0.44952380952380955,0.014605238392075058
0.45761904761904759,0.012173632615278134
0.46571428571428564,0.0091052306816241813
0.47380952380952379,0.0058867415996142775
0.48190476190476184,0.0030246984219942838
0.48999999999999999,0.00096730844328343107
0.49809523809523804,3.5782024147924319e-05
0.50619047619047619,0.00037532291702301507
0.51428571428571423,0.0019330200570722917
0.52238095238095239,0.0044659004822481339
0.53047619047619043,0.0075779564700070327
0.53857142857142859,0.010780683129938629
0.54666666666666663,0.013568167960829446
0.55476190476190468,0.015495564747933656
0.56285714285714283,0.016249184726636751
0.57095238095238088,0.015697546810828033
0.57904761904761903,0.013915403816183803
0.58714285714285708,0.01117663802285784
0.59523809523809523,0.0079164578537256093
0.60333333333333328,0.004667887446302618
0.61142857142857143,0.0019814687134554095
0.61952380952380948,0.0003398149125851745
0.62761904761904752,7.9748645837800512e-05
0.63571428571428568,0.0013340285532670881
0.64380952380952372,0.0040021726882397265
0.65190476190476188,0.0077559276309587741
0.66000000000000003,0.012080029532663392
0.66809523809523808,0.016343722800247752
0.67619047619047612,0.019893770061080271
0.68428571428571427,0.022156090989781187
0.69238095238095232,0.022731261191515296
0.70047619047619047,0.021469225331628785
0.70857142857142852,0.018510803401824556
0.71666666666666667,0.014287681268217018
0.72476190476190472,0.0094780945445911268
0.73285714285714287,0.0049216437549914139
0.74095238095238092,0.0015027965081666056
0.74904761904761907,1.7794145989855e-05
0.75714285714285712,0.0010431299965844149
0.76523809523809516,0.0048249404113517502
0.77333333333333332,0.011207259349318807
0.78142857142857136,0.019613167654224557
0.78952380952380952,0.029086787934867207
0.79761904761904756,0.038396503618047598
0.80571428571428572,0.046191611663238055
0.81380952380952376,0.051196870160369889
0.82190476190476192,0.052423090321197068
0.82999999999999996,0.049367932894607239
0.83809523809523812,0.042180040834599725
0.84619047619047616,0.031761875625836225
0.8542857142857142,0.019792038676856034
0.86238095238095236,0.0086559732404165157
0.8704761904761904,0.0012839278855712865
0.87857142857142856,0.00090582801463696299
0.8866666666666666,0.010743014389713281
0.89476190476190476,0.033665435553923879
0.9028571428571428,0.071848740920929952
0.91095238095238096,0.1264680109708135
0.919047619047619,0.19746316290912072
0.92714285714285716,0.28340541196380264
0.9352380952380952,0.38148503250668475
0.94333333333333325,0.4876289426461386
0.9514285714285714,0.59674354235555338
0.95952380952380945,0.70306516669851149
0.9676190476190476,0.80058890126860172
0.97571428571428565,0.88353764447288741
0.9838095238095238,0.94682820825091463
0.99190476190476184,0.98649054323471352
1,1
1.0080952380952379,0.98649054323471552
1.0161904761904761,0.94682820825091529
1.0242857142857142,0.88353764447288952
1.0323809523809522,0.80058890126860682
1.0404761904761903,0.70306516669851427
1.0485714285714285,0.5967435423555566
1.0566666666666666,0.48762894264614154
1.0647619047619046,0.38148503250668786
