normal_tilt_alpha_deg,normal_azimuth_psi_deg,orientation_mass
0.16595429177952681,0,0.00020618300034405644
0.16595429177952681,11.25,0.00020618300034405644
0.16595429177952681,22.5,0.00020618300034405644
0.16595429177952681,33.75,0.00020618300034405644
0.16595429177952681,45,0.00020618300034405644
0.16595429177952681,56.25,0.00020618300034405644
0.16595429177952681,67.5,0.00020618300034405644
0.16595429177952681,78.75,0.00020618300034405644
0.16595429177952681,90,0.00020618300034405644
0.16595429177952681,101.25,0.00020618300034405644
0.16595429177952681,112.5,0.00020618300034405644
0.16595429177952681,123.74999999999999,0.00020618300034405644
0.16595429177952681,135,0.00020618300034405644
0.16595429177952681,146.25,0.00020618300034405644
0.16595429177952681,157.5,0.00020618300034405644
0.16595429177952681,168.75,0.00020618300034405644
0.16595429177952681,180,0.00020618300034405644
0.16595429177952681,191.25,0.00020618300034405644
0.16595429177952681,202.5,0.00020618300034405644
0.16595429177952681,213.75,0.00020618300034405644
0.16595429177952681,225,0.00020618300034405644
0.16595429177952681,236.25,0.00020618300034405644
0.16595429177952681,247.49999999999997,0.00020618300034405644
0.16595429177952681,258.75,0.00020618300034405644
0.16595429177952681,270,0.00020618300034405644
0.16595429177952681,281.25,0.00020618300034405644
0.16595429177952681,292.5,0.00020618300034405644
0.16595429177952681,303.75,0.00020618300034405644
0.16595429177952681,315,0.00020618300034405644
0.16595429177952681,326.25,0.00020618300034405644
0.16595429177952681,337.5,0.00020618300034405644
0.16595429177952681,348.75,0.00020618300034405644
0.86294469266572682,0,0.0023376699284037013
0.86294469266572682,11.25,0.0023376699284037013
0.86294469266572682,22.5,0.0023376699284037013
0.86294469266572682,33.75,0.0023376699284037013
0.86294469266572682,45,0.0023376699284037013
0.86294469266572682,56.25,0.0023376699284037013
0.86294469266572682,67.5,0.0023376699284037013
0.86294469266572682,78.75,0.0023376699284037013
0.86294469266572682,90,0.0023376699284037013
0.86294469266572682,101.25,0.0023376699284037013
0.86294469266572682,112.5,0.0023376699284037013
0.86294469266572682,123.74999999999999,0.0023376699284037013
0.86294469266572682,135,0.0023376699284037013
0.86294469266572682,146.25,0.0023376699284037013
0.86294469266572682,157.5,0.0023376699284037013
0.86294469266572682,168.75,0.0023376699284037013
0.86294469266572682,180,0.0023376699284037013
0.86294469266572682,191.25,0.0023376699284037013
0.86294469266572682,202.5,0.0023376699284037013
0.86294469266572682,213.75,0.0023376699284037013
0.86294469266572682,225,0.0023376699284037013
0.86294469266572682,236.25,0.0023376699284037013
0.86294469266572682,247.49999999999997,0.0023376699284037013
0.86294469266572682,258.75,0.0023376699284037013
0.86294469266572682,270,0.0023376699284037013
0.86294469266572682,281.25,0.0023376699284037013
0.86294469266572682,292.5,0.0023376699284037013
0.86294469266572682,303.75,0.0023376699284037013
0.86294469266572682,315,0.0023376699284037013
0.86294469266572682,326.25,0.0023376699284037013
0.86294469266572682,337.5,0.0023376699284037013
0.86294469266572682,348.75,0.0023376699284037013
2.0708759322512575,0,0.0069331893169738146
2.0708759322512575,11.25,0.0069331893169738146
2.0708759322512575,22.5,0.0069331893169738146
2.0708759322512575,33.75,0.0069331893169738146
2.0708759322512575,45,0.0069331893169738146
2.0708759322512575,56.25,0.0069331893169738146
2.0708759322512575,67.5,0.0069331893169738146
2.0708759322512575,78.75,0.0069331893169738146
2.0708759322512575,90,0.0069331893169738146
2.0708759322512575,101.25,0.0069331893169738146
2.0708759322512575,112.5,0.0069331893169738146
2.0708759322512575,123.74999999999999,0.0069331893169738146
2.0708759322512575,135,0.0069331893169738146
2.0708759322512575,146.25,0.0069331893169738146
2.0708759322512575,157.5,0.0069331893169738146
2.0708759322512575,168.75,0.0069331893169738146
2.0708759322512575,180,0.0069331893169738146
2.0708759322512575,191.25,0.0069331893169738146
2.0708759322512575,202.5,0.0069331893169738146
2.0708759322512575,213.75,0.0069331893169738146
2.0708759322512575,225,0.0069331893169738146
2.0708759322512575,236.25,0.0069331893169738146
2.0708759322512575,247.49999999999997,0.0069331893169738146
2.0708759322512575,258.75,0.0069331893169738146
2.0708759322512575,270,0.0069331893169738146
2.0708759322512575,281.25,0.0069331893169738146
2.0708759322512575,292.5,0.0069331893169738146
2.0708759322512575,303.75,0.0069331893169738146
2.0708759322512575,315,0.0069331893169738146
2.0708759322512575,326.25,0.0069331893169738146
2.0708759322512575,337.5,0.0069331893169738146
2.0708759322512575,348.75,0.0069331893169738146
3.7141384114204423,0,0.009490807681563334
3.7141384114204423,11.25,0.009490807681563334
3.7141384114204423,22.5,0.009490807681563334
3.7141384114204423,33.75,0.009490807681563334
3.7141384114204423,45,0.009490807681563334
3.7141384114204423,56.25,0.009490807681563334
3.7141384114204423,67.5,0.009490807681563334
3.7141384114204423,78.75,0.009490807681563334
3.7141384114204423,90,0.009490807681563334
3.7141384114204423,101.25,0.009490807681563334
