m,branch,qz_center,gui_L,final_L,gui_background_density,final_data_density,pixel_count,delta_L,delta_density
4,-,1.0787640703006987,1.1640625,1.1640625,29.10398882035708,29.10398882035708,873.0,0.0,0.0
4,-,1.1028974946922132,1.1901041666666667,1.1901041666666667,28.49726963749891,28.49726963749891,884.0,0.0,0.0
4,-,1.1270309190837278,1.2161458333333335,1.2161458333333335,28.08258904734661,28.08258904734661,896.0,0.0,0.0
4,-,1.151164343475242,1.2421875,1.2421875,27.43816386927449,27.43816386927449,905.0,0.0,0.0
4,-,1.1752977678667567,1.2682291666666667,1.2682291666666667,26.995202945758052,26.995202945758052,912.0,0.0,0.0
4,-,1.1994311922582712,1.2942708333333335,1.2942708333333335,26.427262254474243,26.427262254474243,928.0,0.0,0.0
4,-,1.2235646166497856,1.3203125,1.3203125,26.04447662730562,26.04447662730562,935.0,0.0,0.0
4,-,1.2476980410413,1.3463541666666667,1.3463541666666667,26.019211906366028,26.019211906366028,949.0,0.0,0.0
4,-,1.2718314654328147,1.3723958333333335,1.3723958333333335,25.478145518802574,25.478145518802574,958.0,0.0,0.0
4,-,1.2959648898243294,1.3984375000000004,1.3984375000000004,24.887499467280275,24.887499467280275,969.0,0.0,0.0
4,-,1.3200983142158438,1.4244791666666667,1.4244791666666667,25.020909646150226,25.020909646150226,987.0,0.0,0.0
4,-,1.3442317386073581,1.4505208333333333,1.4505208333333333,24.67412883271598,24.67412883271598,993.0,0.0,0.0
4,-,1.368365162998873,1.4765625000000002,1.4765625000000002,24.675400720766454,24.675400720766454,1011.0,0.0,0.0
4,-,1.3924985873903872,1.5026041666666667,1.5026041666666667,24.5254974095024,24.5254974095024,1020.0,0.0,0.0
4,-,1.4166320117819016,1.5286458333333333,1.5286458333333333,24.09938198167767,24.09938198167767,1038.0,0.0,0.0
4,-,1.4407654361734163,1.5546875000000002,1.5546875000000002,23.632052904189855,23.632052904189855,1052.0,0.0,0.0
4,-,1.4648988605649307,1.5807291666666667,1.5807291666666667,23.0840232526813,23.0840232526813,1065.0,0.0,0.0
4,-,1.4890322849564452,1.6067708333333335,1.6067708333333335,23.292551908458282,23.292551908458282,1082.0,0.0,0.0
4,-,1.5131657093479598,1.6328125,1.6328125,23.101322092223366,23.101322092223366,1095.0,0.0,0.0
4,-,1.5372991337394744,1.6588541666666667,1.6588541666666667,22.6803589624678,22.6803589624678,1115.0,0.0,0.0
4,-,1.561432558130989,1.6848958333333335,1.6848958333333335,22.176461430778048,22.176461430778048,1136.0,0.0,0.0
4,-,1.5855659825225032,1.7109375,1.7109375,21.935573779123644,21.935573779123644,1149.0,0.0,0.0
4,-,1.6096994069140178,1.7369791666666667,1.7369791666666667,22.292120278862097,22.292120278862097,1164.0,0.0,0.0
4,-,1.6338328313055324,1.7630208333333335,1.7630208333333335,22.193611699548033,22.193611699548033,1187.0,0.0,0.0
4,-,1.6579662556970467,1.7890625,1.7890625,22.72731660014553,22.72731660014553,1205.0,0.0,0.0
4,-,1.6820996800885613,1.8151041666666667,1.8151041666666667,22.75241481764451,22.75241481764451,1228.0,0.0,0.0
4,-,1.7062331044800758,1.8411458333333333,1.8411458333333333,22.335048742452663,22.335048742452663,1247.0,0.0,0.0
4,-,1.7303665288715906,1.8671875000000002,1.8671875000000002,21.637569054782244,21.637569054782244,1268.0,0.0,0.0
4,-,1.754499953263105,1.8932291666666667,1.8932291666666667,20.885969301038905,20.885969301038905,1290.0,0.0,0.0
4,-,1.7786333776546193,1.9192708333333333,1.9192708333333333,20.43204179425747,20.43204179425747,1316.0,0.0,0.0
4,-,1.802766802046134,1.9453125000000002,1.9453125000000002,19.781899323654567,19.781899323654567,1339.0,0.0,0.0
4,-,1.8269002264376484,1.9713541666666667,1.9713541666666667,19.313416972011602,19.313416972011602,1364.0,0.0,0.0
4,-,1.851033650829163,1.9973958333333335,1.9973958333333335,18.642630435247597,18.642630435247597,1387.0,0.0,0.0
4,-,1.8751670752206775,2.0234375,2.0234375,18.329085446483763,18.329085446483763,1414.0,0.0,0.0
4,-,1.8993004996121918,2.0494791666666665,2.0494791666666665,18.08165390815636,18.08165390815636,1447.0,0.0,0.0
4,-,1.9234339240037066,2.0755208333333335,2.0755208333333335,17.737449627211106,17.737449627211106,1476.0,0.0,0.0
4,-,1.9475673483952212,2.1015625000000004,2.1015625000000004,17.428372365224924,17.428372365224924,1505.0,0.0,0.0
4,-,1.9717007727867355,2.127604166666667,2.127604166666667,17.150619324638956,17.150619324638956,1535.0,0.0,0.0
4,-,1.99583419717825,2.1536458333333335,2.1536458333333335,17.033956380990084,17.033956380990084,1565.0,0.0,0.0
4,-,2.019967621569765,2.1796875000000004,2.1796875000000004,17.015677793408127,17.015677793408127,1602.0,0.0,0.0
4,-,2.0441010459612787,2.2057291666666665,2.2057291666666665,16.995349457274806,16.995349457274806,1635.0,0.0,0.0
4,-,2.0682344703527935,2.2317708333333335,2.2317708333333335,16.7035428418456,16.7035428418456,1674.0,0.0,0.0
4,-,2.0923678947443083,2.2578125000000004,2.2578125000000004,16.86695849327072,16.86695849327072,1712.0,0.0,0.0
4,-,2.116501319135822,2.2838541666666665,2.2838541666666665,16.908156013928625,16.908156013928625,1749.0,0.0,0.0
4,-,2.140634743527337,2.3098958333333335,2.3098958333333335,16.58682094237841,16.58682094237841,1787.0,0.0,0.0
4,-,2.1647681679188517,2.3359375000000004,2.3359375000000004,16.683818499771274,16.683818499771274,1837.0,0.0,0.0
4,-,2.1889015923103656,2.3619791666666665,2.3619791666666665,16.384310051760377,16.384310051760377,1876.0,0.0,0.0
4,-,2.2130350167018804,2.3880208333333335,2.3880208333333335,16.666459574412272,16.666459574412272,1927.0,0.0,0.0
4,-,2.237168441093395,2.4140625,2.4140625,16.5801774120389,16.5801774120389,1972.0,0.0,0.0
4,-,2.26130186548491,2.440104166666667,2.440104166666667,16.306599430679267,16.306599430679267,2026.0,0.0,0.0
4,-,2.2854352898764243,2.4661458333333335,2.4661458333333335,15.85991812194514,15.85991812194514,2077.0,0.0,0.0
4,-,2.3095687142679386,2.4921875,2.4921875,15.862484218104433,15.862484218104433,2132.0,0.0,0.0
4,-,2.3337021386594534,2.518229166666667,2.518229166666667,15.494418455172957,15.494418455172957,2190.0,0.0,0.0
