branch,bin,x_unit,x,valid,measured,background,net_measured,model_total,net_model
m1_minus,0,L_reciprocal_lattice_units,2.1000000000000001,1,26.871053668220206,23.528801190635445,3.3422524775847613,26.393076560677056,2.8642753700416108
m1_minus,1,L_reciprocal_lattice_units,2.3000000000000003,1,24.413238691841485,23.32532944543588,1.087909246405605,23.73198499650065,0.40665555106476958
m1_minus,2,L_reciprocal_lattice_units,2.5000000000000004,1,24.438250841390335,23.10952883570743,1.3287220056829057,23.198678567086116,0.089149731378686425
m1_minus,3,L_reciprocal_lattice_units,2.7000000000000006,1,24.480751428824831,22.875847457374359,1.6049039714504723,22.981433125251172,0.10558566787681301
m1_minus,4,L_reciprocal_lattice_units,2.9000000000000008,1,24.134098159122019,22.626650704387018,1.5074474547350007,22.766274655245294,0.13962395085827595
m1_minus,5,L_reciprocal_lattice_units,3.100000000000001,1,24.384045167770935,22.363903613624018,2.0201415541469174,22.552437965809421,0.18853435218540326
m1_minus,6,L_reciprocal_lattice_units,3.3000000000000012,1,24.241898893725526,22.08610092144761,2.1557979722779166,22.347076560091356,0.26097563864374607
m1_minus,7,L_reciprocal_lattice_units,3.5000000000000013,1,26.344056942077664,21.794406184377397,4.5496507577002667,22.227980179298033,0.43357399492063564
m1_minus,8,L_reciprocal_lattice_units,3.7000000000000015,1,29.130042786903822,21.492138457323779,7.6379043295800422,24.0450853925635,2.5529469352397207
m1_minus,9,L_reciprocal_lattice_units,3.9000000000000017,1,36.47197977424679,21.178121195710041,15.293858578536749,36.588884939240785,15.410763743530744
m1_minus,10,L_reciprocal_lattice_units,4.1000000000000014,1,39.070082949474397,20.853287431676094,18.216795517798303,36.783964036032515,15.930676604356421
m1_minus,11,L_reciprocal_lattice_units,4.3000000000000025,1,30.660487077383259,20.518169960910196,10.142317116473063,24.304784522972518,3.7866145620623222
m1_minus,12,L_reciprocal_lattice_units,4.5000000000000018,1,36.394732275273768,20.173630314446378,16.22110196082739,24.188305022295914,4.0146747078495366
