X,Bi / central-Se,X,Ends only,X,+ mosaic/scale,X,Measured
3.21987462892,242.242495519,3.21987462892,103.732080575,3.21987462892,151.730646281,3.21987462892,179.714764418
3.25215257976,202.249507427,3.25215257976,87.0346957668,3.25215257976,126.152784815,3.25215257976,136.936511142
3.28442805396,183.231207613,3.28442805396,79.0720885678,3.28442805396,113.396553121,3.28442805396,110.71407404
3.31670102691,164.712800408,3.31670102691,72.4667595492,3.31670102691,101.730563707,3.31670102691,95.0791353626
3.34897147406,151.266833965,3.34897147406,68.3520325034,3.34897147406,93.6199585684,3.34897147406,84.5284330957
3.38123937081,141.541430171,3.38123937081,65.3536178267,3.38123937081,87.317577167,3.38123937081,78.4309092121
3.41350469261,131.688546407,3.41350469261,62.9497800153,3.41350469261,81.6530946776,3.41350469261,72.4892382786
3.44576741487,125.274536541,3.44576741487,61.332304637,3.44576741487,77.4864809835,3.44576741487,68.6187409659
3.47802751304,118.333090129,3.47802751304,59.8794311457,3.47802751304,73.3900265618,3.47802751304,65.0212724825
3.51028496253,113.251947994,3.51028496253,58.8467041443,3.51028496253,70.268687099,3.51028496253,63.1279923548
3.54253973879,108.175924634,3.54253973879,57.9085898016,3.54253973879,67.1331290544,3.54253973879,58.9210284669
3.57479181725,104.190347526,3.57479181725,57.2141881885,3.57479181725,64.7776768593,3.57479181725,59.7811538417
3.60704117335,99.8390101977,3.60704117335,56.5066584318,3.60704117335,62.2345884934,3.60704117335,60.5154906422
3.63928778253,97.1304678465,3.63928778253,56.0692514266,3.63928778253,60.5206561502,3.63928778253,58.8021080837
3.67153162023,92.846816633,3.67153162023,55.4454240344,3.67153162023,58.4511307973,3.67153162023,56.8209162505
3.70377266191,91.2654291941,3.70377266191,55.1939462822,3.70377266191,57.2236524851,3.70377266191,56.1842165432
3.736010883,87.0788709269,3.736010883,54.6241699808,3.736010883,55.6327490263,3.736010883,55.4932565987
3.76824625896,86.0486807656,3.76824625896,54.4608968083,3.76824625896,54.7358877053,3.76824625896,55.9459930475
3.80047876523,82.4006246429,3.80047876523,53.9800692956,3.80047876523,53.6141693403,3.80047876523,55.2467901387
3.83270837727,81.2679813595,3.83270837727,53.8140252949,3.83270837727,52.9469821442,3.83270837727,53.8552380249
3.86493507054,78.5465022962,3.86493507054,53.4571394197,3.86493507054,52.2209558276,3.86493507054,53.3105416573
3.89715882049,76.9555879988,3.89715882049,53.2405511984,3.89715882049,51.7324827444,3.89715882049,53.2564467257
3.92937960259,75.1981437433,3.92937960259,53.0042135371,3.92937960259,51.2923115821,3.92937960259,53.3923752435
3.96159739229,73.2078296269,3.96159739229,52.7422558178,3.96159739229,50.9509394457,3.96159739229,53.8424936052
3.99381216506,72.1228290964,3.99381216506,52.5870807876,3.99381216506,50.6930527391,3.99381216506,54.0253645106
4.02602389638,70.0422939052,4.02602389638,52.3157433699,4.02602389638,50.4669076074,4.02602389638,53.7092690858
4.0582325617,69.2410443219,4.0582325617,52.1941293044,4.0582325617,50.3155339289,4.0582325617,53.4481666681
4.0904381365,67.365888886,4.0904381365,51.9460668389,4.0904381365,50.1690000803,4.0904381365,52.3454456442
4.12264059625,66.5851399408,4.12264059625,51.8263213039,4.12264059625,50.0753017414,4.12264059625,51.3856345543
4.15483991643,65.038647761,4.15483991643,51.6155766881,4.15483991643,49.9784894734,4.15483991643,52.2938066908
4.18703607252,64.2144207751,4.18703607252,51.4899582925,4.18703607252,49.9137710491,4.18703607252,53.5844055821
4.21922904,62.9506085306,4.21922904,51.3110033826,4.21922904,49.8444888997,4.21922904,53.0709518425
4.25141879436,62.1429913146,4.25141879436,51.1835795529,4.25141879436,49.7897366776,4.25141879436,51.325918928
4.28360531107,61.0539250332,4.28360531107,51.024147372,4.28360531107,49.7340987221,4.28360531107,50.7491127982
4.31578856564,60.3380972349,4.31578856564,50.9056448633,4.31578856564,49.6833349834,4.31578856564,51.4056680856
4.34796853354,59.3515318151,4.34796853354,50.7555493615,4.34796853354,49.6313471318,4.34796853354,51.4918010767
4.38014519027,58.7396503427,4.38014519027,50.6468875319,4.38014519027,49.579912742,4.38014519027,51.9172779988
4.41231851134,57.8517851417,4.41231851134,50.5038143628,4.41231851134,49.5255632404,4.41231851134,52.2921407
4.44448847223,57.3019106987,4.44448847223,50.401049985,4.44448847223,49.4727685833,4.44448847223,51.5246764763
4.47665504845,56.5505563934,4.47665504845,50.2717854428,4.47665504845,49.4169553887,4.47665504845,52.9676891525
