X,Measured,X,Model
0.61564722658,19.1750580942,0.61564722658,26.0283121813
0.632702764588,18.4635466743,0.632702764588,19.5536364644
0.649836818435,12.2401803739,0.649836818435,13.6867981716
0.667048651394,13.9615306242,0.667048651394,11.8126368182
0.684337526741,12.51358416,0.684337526741,11.3718715024
0.701702707747,13.57237914,0.701702707747,12.5877962009
0.719143457686,15.8029998598,0.719143457686,15.0303537485
0.736659039833,15.8810180909,0.736659039833,19.3653177417
0.75424871746,19.6193113706,0.75424871746,26.1654549037
0.771911753841,23.1448705603,0.771911753841,36.8082034021
0.78964741225,29.9517241669,0.78964741225,53.3810161619
0.807454955961,39.0766158301,0.807454955961,79.0590089851
0.825333648246,61.3861288265,0.825333648246,116.925813702
0.84328275238,104.459566415,0.84328275238,165.238141372
0.861301531635,177.194267599,0.861301531635,212.904819595
0.879389249287,251.319465601,0.879389249287,237.740529761
0.897545168607,283.612018278,0.897545168607,223.624110588
0.915874172352,228.054599916,0.915874172352,177.842148616
0.934500969695,155.875446689,0.934500969695,126.402223873
0.953377314599,107.346602004,0.953377314599,85.8796599469
0.972453520685,75.8746078219,0.972453520685,58.8862675447
0.991679901572,63.3973211842,0.991679901572,41.9289275055
1.01100677088,61.7064885503,1.01100677088,31.3346402896
1.03038444223,59.9894198435,1.03038444223,25.576256657
1.04976322925,61.9423578419,1.04976322925,24.1291988927
1.06909344555,63.7908187446,1.06909344555,26.2699415756
1.08832540475,77.4986429186,1.08832540475,34.7806367466
1.10740942047,94.598483448,1.10740942047,52.9250279144
1.12629580634,126.020952916,1.12629580634,76.9731296816
1.14493487597,178.593228447,1.14493487597,105.048626224
1.16327694299,257.374574649,1.16327694299,155.937086239
1.18127232102,366.713806524,1.18127232102,261.811696998
1.19887132367,436.112144033,1.19887132367,384.295002866
1.21614144922,404.308478039,1.21614144922,389.06327824
1.23320045641,287.849529272,1.23320045641,271.903939463
1.25006182945,178.329741137,1.25006182945,137.49872246
1.26673901383,108.310490422,1.26673901383,61.0319855903
1.28324545507,66.0487194992,1.28324545507,28.0893641325
1.29959459869,47.0435022924,1.29959459869,15.7428772767
1.31579989019,36.9989800648,1.31579989019,10.5076963318
1.33187477509,31.3814789907,1.33187477509,7.90756219883
1.34783269889,28.3610203338,1.34783269889,6.628868774
1.36368710711,23.3130488155,1.36368710711,6.3637969914
1.37945144525,23.2041175213,1.37945144525,7.17542355658
1.39513915882,22.4876128252,1.39513915882,9.96734750618
1.41076369335,26.6338250252,1.41076369335,17.054653606
1.42633849433,30.8895355032,1.42633849433,32.5073779816
1.44187700727,45.8292843918,1.44187700727,56.5370467692
1.4573926777,60.6421768879,1.4573926777,81.5148991562
1.47289895111,89.9606161305,1.47289895111,97.3264959029
1.48840927303,107.343786979,1.48840927303,91.0753770616
1.50393335661,110.148323958,1.50393335661,71.5598178834
1.51942764184,88.4195279569,1.51942764184,51.0454060352
