branch,bin,x,x_unit,net_measured_counts_per_pixel_area,net_model_counts_per_pixel_area,uncertainty_scale_counts_per_pixel_area,normalizing_pixel_area
m1_minus,0,0.10000000000000001,L_reciprocal_lattice_units,nan,nan,nan,0
m1_minus,1,0.30000000000000004,L_reciprocal_lattice_units,nan,nan,nan,0
m1_minus,2,0.5,L_reciprocal_lattice_units,nan,nan,nan,0
m1_minus,3,0.70000000000000007,L_reciprocal_lattice_units,nan,nan,nan,0
m1_minus,4,0.90000000000000002,L_reciprocal_lattice_units,nan,nan,nan,0
m1_minus,5,1.1000000000000001,L_reciprocal_lattice_units,nan,nan,nan,0
m1_minus,6,1.3000000000000003,L_reciprocal_lattice_units,nan,nan,nan,0
m1_minus,7,1.5,L_reciprocal_lattice_units,nan,nan,nan,0
m1_minus,8,1.7000000000000002,L_reciprocal_lattice_units,-0.5101058566145672,0.11079394090595023,1.9068073308444971,98.081681992072632
m1_minus,9,1.8999999999999999,L_reciprocal_lattice_units,-0.46773864565824874,0.78320269747612203,1.518371653011882,673.79804409819417
m1_minus,10,2.1000000000000001,L_reciprocal_lattice_units,1.2785529434993932,0.76895684698231204,1.489359852613332,794.98999059923597
m1_minus,11,2.3000000000000003,L_reciprocal_lattice_units,3.4356279498572424,0.44482310973321265,1.4606135099287194,821.83063281844125
m1_minus,12,2.5,L_reciprocal_lattice_units,3.7616785868329483,0.52923947174283392,1.431913480731057,833.74817829296035
m1_minus,13,2.7000000000000002,L_reciprocal_lattice_units,3.3878826956107106,0.67317313201301776,1.4041318415269683,841.63145396702214
m1_minus,14,2.9000000000000004,L_reciprocal_lattice_units,3.9819311136135966,0.87500352217681554,1.3779656039142423,848.16355136447476
m1_minus,15,3.1000000000000001,L_reciprocal_lattice_units,3.5424302519928696,1.0798980028877891,1.3526394137163753,854.2624064885473
m1_minus,16,3.3000000000000003,L_reciprocal_lattice_units,3.2721236819500206,1.3409329629429068,1.328768879805613,860.31455736572661
m1_minus,17,3.5,L_reciprocal_lattice_units,3.3654066912894178,1.6135466213741265,1.306539781413671,866.50927502171851
m1_minus,18,3.7000000000000002,L_reciprocal_lattice_units,3.6205877097867347,1.9831696139686046,1.2857808148517353,872.95140591808547
m1_minus,19,3.9000000000000004,L_reciprocal_lattice_units,6.7292807629833291,5.0034684167472809,1.2677066413897686,879.70584282313143
m1_minus,20,4.0999999999999996,L_reciprocal_lattice_units,7.589858711919347,5.6561445093716456,1.2500442993139032,886.81718964320487
m1_minus,21,4.3000000000000007,L_reciprocal_lattice_units,5.5159199341009115,3.8543289008511508,1.2324574987008898,894.31927876509974
m1_minus,22,4.5,L_reciprocal_lattice_units,10.921305992978541,6.108325081786468,1.2193968593899003,902.24013145053789
m1_minus,23,4.7000000000000011,L_reciprocal_lattice_units,28.461299918412017,15.082676086570409,1.2125100088733736,910.60471361853206
m1_minus,24,4.9000000000000004,L_reciprocal_lattice_units,436.75241267771048,422.1716481743178,1.3636351459298925,919.43655870826296
m1_minus,25,5.0999999999999996,L_reciprocal_lattice_units,525.15911380665295,367.19829345817459,1.385930561414876,928.7587791503463
m1_minus,26,5.3000000000000007,L_reciprocal_lattice_units,30.551844329805892,14.017637270695637,1.1759665724684829,938.5947348484666
