X,Gaussian,X,Lorentzian,X,Total
0,0.514809669538,0,1.64584651902,0,2.16065618855
0.025,0.51378197925,0.025,1.63354673747,0.025,2.14732871672
0.05,0.510711201191,0.05,1.59772623624,0.05,2.10843743743
0.075,0.505633969032,0.075,1.54139331666,0.075,2.04702728569
0.1,0.498610529894,0.1,1.46888693793,0.1,1.96749746782
0.125,0.48972355445,0.125,1.3851160235,0.125,1.87483957795
0.15,0.479076517408,0.15,1.29485969987,0.15,1.77393621728
0.175,0.46679169272,0.175,1.20227369724,0.175,1.66906538996
0.2,0.453007817824,0.2,1.11064225431,0.2,1.56365007214
0.225,0.437877489238,0.225,1.02233584806,0.225,1.4602133373
0.25,0.421564357787,0.25,0.938901922316,0.25,1.3604662801
0.275,0.404240195327,0.275,0.861218580794,0.275,1.26545877612
0.3,0.38608190611,0.3,0.789660856765,0.3,1.17574276287
0.325,0.367268554879,0.325,0.724250879119,0.325,1.091519434
0.35,0.347978480484,0.35,0.664779953002,0.35,1.01275843349
0.375,0.328386558549,0.375,0.610900862418,0.375,0.939287420967
0.4,0.308661669699,0.4,0.562193826932,0.4,0.870855496631
0.425,0.288964421404,0.425,0.518211349868,0.425,0.807175771272
0.45,0.269445162057,0.45,0.478507214888,0.45,0.747952376945
0.475,0.250242315732,0.475,0.442654130552,0.475,0.692896446284
0.5,0.231481055683,0.5,0.410253553637,0.5,0.64173460932
0.525,0.21327232433,0.525,0.380940311644,0.525,0.594212635975
0.55,0.195712197654,0.55,0.354383893567,0.55,0.550096091221
0.575,0.178881582812,0.575,0.330287701361,0.575,0.509169284172
0.6,0.162846229765,0.6,0.308387132183,0.6,0.471233361948
0.625,0.147657030827,0.625,0.288447062119,0.625,0.436104092946
0.65,0.133350576594,0.65,0.27025909514,0.65,0.403609671733
0.675,0.119949932638,0.675,0.253638800999,0.675,0.373588733636
0.7,0.107465598754,0.7,0.238423072734,0.7,0.345888671488
0.725,0.0958966113208,0.725,0.224467673903,0.725,0.320364285224
0.75,0.0852317494515,0.75,0.211645007131,0.75,0.296876756582
0.775,0.0754508068735,0.775,0.199842111768,0.775,0.275292918641
0.8,0.0665258937745,0.8,0.188958884322,0.8,0.255484778097
0.825,0.0584227359608,0.825,0.178906507544,0.825,0.237329243505
0.85,0.0511019424337,0.85,0.16960607022,0.85,0.220708012654
0.875,0.0445202166703,0.875,0.160987358438,0.875,0.205507575108
0.9,0.0386314913296,0.9,0.152987799239,0.9,0.191619290568
0.925,0.0333879706026,0.925,0.145551538617,0.925,0.17893950922
0.95,0.0287410688275,0.95,0.138628637274,0.95,0.167369706102
0.975,0.0246422381707,0.975,0.132174369155,0.975,0.156816607326
1,0.0210436820129,1,0.126148609472,1,0.147192291484
1.025,0.0178989540977,1.025,0.12051530047,1.025,0.138414254567
1.05,0.0151634464446,1.05,0.115241984688,1.05,0.130405431132
1.075,0.012794771461,1.075,0.11029939676,1.075,0.123094168221
1.1,0.0107530456123,1.1,0.105661106007,1.1,0.116414151619
1.125,0.00900108342338,1.125,0.101303203094,1.125,0.110304286518
1.15,0.00750451153436,1.15,0.0972040249556,1.15,0.10470853649
1.175,0.00623181304323,1.175,0.0933439129597,1.175,0.099575726003
1.2,0.00515431250336,1.2,0.0897049999902,1.2,0.0948593124935
1.225,0.00424611175237,1.225,0.0862710226995,1.225,0.0905171344518
1.25,0.00348398629432,1.25,0.083027155708,1.25,0.0865111420023
1.275,0.00284725129699,1.275,0.0799598649565,1.275,0.0828071162534
1.3,0.00231760545731,1.3,0.0770567777986,1.3,0.0793743832559
1.325,0.00187896008324,1.325,0.0743065677452,1.325,0.0761855278284
1.35,0.00151725978498,1.35,0.0716988520504,1.35,0.0732161118354
1.375,0.00122030020366,1.375,0.069224100569,1.375,0.0704444007727
1.4,0.000977547263501,1.4,0.0668735545227,1.4,0.0678511017862
1.425,0.000779961541003,1.425,0.0646391539886,1.425,0.0654191155296
1.45,0.000619830520054,1.45,0.0625134730787,1.45,0.0631333035988
1.475,0.000490610759881,1.475,0.0604896619089,1.475,0.0609802726688
1.5,0.000386781349624,1.5,0.0585613945726,1.5,0.0589481759223
1.525,0.000303709463074,1.525,0.0567228224319,1.525,0.0570265318949
1.55,0.000237528358434,1.55,0.0549685321228,1.55,0.0552060604812
1.575,0.000185027786963,1.575,0.05329350775,1.575,0.053478535537
1.6,0.000143556474861,1.6,0.0516930968046,1.6,0.0518366532795
1.625,0.000110936116868,1.625,0.0501629793995,1.625,0.0502739155164
1.65,8.53861591594E-05,1.65,0.0486991404633,1.65,0.0487845266225
1.675,6.54585439729E-05,1.675,0.047297844576,1.675,0.0473633031199
1.7,4.99815300713E-05,1.7,0.0459556131671,1.7,0.0460055946972
1.725,3.8011682827E-05,1.725,0.0446692038299,1.725,0.0447072155128
1.75,2.8793137453E-05,1.75,0.043435591532,1.75,0.0434643846695
1.775,2.17232713927E-05,1.775,0.0422519515293,1.775,0.0422736748007
1.8,1.63239707988E-05,1.8,0.0411156438104,1.8,0.0411319677812
1.825,1.22177359318E-05,1.825,0.040024198919,1.825,0.0400364166549
1.85,9.10793668955E-06,1.85,0.0389753050172,1.85,0.0389844129539
1.875,6.76259868563E-06,1.875,0.0379667960695,1.875,0.0379735586682
