X,Bi / central-Te,X,Ends only,X,+ mosaic/scale,X,Measured
3.22282051957,262.203757669,3.22282051957,105.828890299,3.22282051957,135.120112559,3.22282051957,112.681897591
3.25721142982,223.863341207,3.25721142982,92.3578386028,3.25721142982,118.799056319,3.25721142982,101.549572164
3.29159985956,225.433361545,3.29159985956,89.992124498,3.29159985956,117.265519918,3.29159985956,91.7920728811
3.3259857826,202.704000159,3.3259857826,83.600004792,3.3259857826,106.732259223,3.3259857826,87.7358652139
3.36036917276,218.720515089,3.36036917276,85.8378086215,3.36036917276,107.459096738,3.36036917276,84.3407189649
3.39475000385,216.176819214,3.39475000385,84.6726946862,3.39475000385,102.05902017,3.39475000385,85.5568896318
3.42912824969,211.394391564,3.42912824969,83.3049236131,3.42912824969,98.4592987794,3.42912824969,84.055067515
3.4635038841,198.420608007,3.4635038841,80.4949766776,3.4635038841,95.0285658947,3.4635038841,82.5633860411
3.4978768809,160.654984158,3.4978768809,72.9609071442,3.4978768809,86.0759011078,3.4978768809,80.5574701569
3.53224721392,152.916099095,3.53224721392,71.3784558142,3.53224721392,84.7443746951,3.53224721392,78.7683319462
3.56661485697,125.42253271,3.56661485697,66.0285451841,3.56661485697,76.0666426288,3.56661485697,77.3422800261
3.6009797839,126.872713693,3.6009797839,66.2738363733,3.6009797839,75.6781817659,3.6009797839,73.5759500939
3.63534196852,108.980709066,3.63534196852,62.8321624677,3.63534196852,68.9263813092,3.63534196852,71.6235488524
3.66970138467,109.649093997,3.66970138467,62.9325152729,3.66970138467,67.9099788736,3.66970138467,68.5541514979
3.70405800618,98.42823864,3.70405800618,60.7829633257,3.70405800618,63.5106974286,3.70405800618,65.2828835811
3.73841180689,95.7926076989,3.73841180689,60.2594070147,3.73841180689,61.8391014807,3.73841180689,63.2980608946
3.77276276064,90.046803609,3.77276276064,59.1481138288,3.77276276064,59.4292139769,3.77276276064,63.6543751341
3.80711084127,84.7846874652,3.80711084127,58.1467423592,3.80711084127,57.6759028056,3.80711084127,61.7236333207
3.84145602261,82.6070004782,3.84145602261,57.701210566,3.84145602261,56.509803133,3.84145602261,60.2886831993
3.87579827852,76.4173160538,3.87579827852,56.5490456442,3.87579827852,55.136827703,3.87579827852,58.9813470912
3.91013758284,75.8469021309,3.91013758284,56.4013613503,3.91013758284,54.591516507,3.91013758284,59.5180573958
3.94447390942,70.2411528922,3.94447390942,55.3778430035,3.94447390942,53.7285975049,3.94447390942,59.4133817646
3.97880723211,69.9100578785,3.97880723211,55.2794894332,3.97880723211,53.4545569753,3.97880723211,58.3058763317
4.01313752477,65.6968288185,4.01313752477,54.5223259081,4.01313752477,52.9981179658,4.01313752477,56.4454705423
4.04746476125,64.9912739039,4.04746476125,54.3684398775,4.04746476125,52.8458246669,4.04746476125,56.549881673
4.08178891541,62.2887557661,4.08178891541,53.8857184389,4.08178891541,52.6327148344,4.08178891541,57.3742845857
4.11610996111,61.1693249818,4.11610996111,53.6738761626,4.11610996111,52.5426707175,4.11610996111,56.8542934302
4.15042787221,59.6625250612,4.15042787221,53.3988693039,4.15042787221,52.4475303679,4.15042787221,55.6143684051
4.18474262258,58.3728475309,4.18474262258,53.1707277216,4.18474262258,52.3895690835,4.18474262258,55.8052190639
4.21905418608,57.604628269,4.21905418608,53.0187026851,4.21905418608,52.3421119679,4.21905418608,57.1189819754
4.2533625366,56.4220476822,4.2533625366,52.8157734952,4.2533625366,52.2979588625,4.2533625366,59.0039785971
4.28766764799,56.0013311075,4.28766764799,52.7203814047,4.28766764799,52.2660038111,4.28766764799,57.1849700378
4.32196949414,55.0972964364,4.32196949414,52.5638351952,4.32196949414,52.2264276323,4.32196949414,55.4713098656
4.35626804891,54.7833067641,4.35626804891,52.4850252546,4.35626804891,52.1940489118,4.35626804891,55.1018123465
4.39056328621,54.1946218193,4.39056328621,52.3747911983,4.39056328621,52.1556877736,4.39056328621,54.7224874285
4.42485517989,53.8919582635,4.42485517989,52.2987130009,4.42485517989,52.1182794959,4.42485517989,54.443708712
4.45914370386,53.5603615497,4.45914370386,52.2208544398,4.45914370386,52.0783404379,4.45914370386,54.3399788714
4.49342883199,53.2600050736,4.49342883199,52.1458061912,4.49342883199,52.035026999,4.49342883199,54.1934017341
